%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
%RUN1													
p	1	0	10	10	1	67	n	p		intro_01.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_02.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_03.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_04.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_05.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_06.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_07.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_08.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_09.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_10.jpg	0	0	instruction
p	1	0	10	10	1	67	n	p		intro_11.jpg	0	0	instruction
p	1	0	10	10  1	67	n	p		intro_12.jpg	0	0	instruction
s	1	0	2.5	3	1	67	n	p		intro_13.jpg	0	0	practice
s	1	0	2.5	3	1	67	n	p		intro_14.jpg	0	0	practice
s	1	0	2.5	3	1	67	n	p		intro_15.jpg	0	0	practice
s	1	0	2.5	3	1	67	n	p		intro_16.jpg	0	0	practice
s	1	0	2.5	3	1	67	n	p		intro_17.jpg	0	0	practice
s	1	0	2.5	3	1	67	n	p		intro_18.jpg	0	0	practice
s	1	0	2.5	3	1	67	n	p		intro_19.jpg	0	0	practice
s	1	0	2.5	3	1	67	n	p		intro_20.jpg	0	0	practice
p	1	0	2.5	10	1	67	n	p		intro_21.jpg	0	0	instruction
