%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
%RUN1													
s	1	0	2.5	3	1	67	n	p		other_03.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		self_27.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		control_25.jpg	0	0	control
s	1	0	2.5	9	1	67	n	p		other_02.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		self_06.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_30.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_25.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		control_31.jpg	0	0	control
s	1	0	2.5	9	1	67	n	p		control_13.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		other_18.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_09.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_25.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		control_15.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_18.jpg	0	0	control
s	1	0	2.5	15	1	67	n	p		control_21.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		self_18.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		control_19.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_29.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_09.jpg	0	0	control
s	1	0	2.5	21	1	67	n	p		control_06.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		other_08.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_05.jpg	0	0	other
s	1	0	2.5	18	1	67	n	p		control_24.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		self_14.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_15.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_08.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_33.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_28.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		control_11.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_23.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		self_07.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		other_21.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_20.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_24.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_31.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_07.jpg	0	0	other
s	1	0	2.5	18	1	67	n	p		control_02.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		self_24.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_21.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_19.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_01.jpg	0	0	self
s	1	0	2.5	6	1	67	n	p		self_17.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		other_32.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_12.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_22.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_35.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_13.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		control_16.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_27.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_03.jpg	0	0	control
s	1	0	2.5	15	1	67	n	p		control_04.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		self_09.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_03.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_35.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		control_32.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		self_20.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		other_06.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_28.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_29.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		other_30.jpg	0	0	other
s	1	0	2.5	3	1	67	n	p		self_32.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		self_10.jpg	0	0	self
s	1	0	2.5	3	1	67	n	p		control_07.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_20.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		control_10.jpg	0	0	control
s	1	0	2.5	15	1	67	n	p		control_08.jpg	0	0	control
s	1	0	2.5	3	1	67	n	p		other_27.jpg	0	0	other
